8.2185,8.9938,8.574,7.2173,7.5721,7.9468,6.9224,8.4771,8.2548,8.3367,9.3257,7.2662,7.5717,8.7649,8.0124,8.8434,9.9961,7.2374,8.052,8.6387,8.063,6.5525,7.7214,8.5873,6.9226,8.5958,7.7975,7.8338,7.4934,7.5502,7.4891,7.7244,7.6292,5.5773,6.5335,6.0192,6.4599,5.4973,5.383,6.9934,5.8485,5.3271,5.8924,7.9276,9.9329,7.0833,7.9446,8.7844,8.5705,8.5233,9.4419,8.7668,8.7599,8.3587,7.9011,8.3022,8.8733,8.1074,7.8754,7.4276,8.6838,7.9996,8.2012,8.4489,8.2648,7.2328,7.2056,8.4641,5.5564,5.9257,7.0761,8.1151,8.1675,7.716,9.3841,7.0776,5.7302,5.5525,5.2353,5.4971,5.4299,5.9498,5.4979,5.488,5.8249,5.3176
7.0198,8.5544,7.8171,7.6878,6.0295,6.2609,7.3891,5.9664,8.2922,7.1547,7.841,6.9967,7.702,7.8761,7.2228,7.1245,8.0454,6.5801,6.1302,6.5921,7.0614,7.7756,8.605,6.8444,5.0205,7.8669,6.0928,7.0775,6.9212,5.7686,6.609,6.9433,6.0795,5.0591,4.913,5.7901,5.3371,4.9179,4.5655,5.4124,4.8614,5.4321,5.0823,7.7434,5.9835,6.3828,7.5571,8.2692,7.3071,6.2243,8.4871,7.977,7.1404,6.0507,8.9227,6.6437,5.8033,7.6323,7.3631,8.3944,6.0922,8.5395,8.0342,8.1923,7.4375,6.1341,6.4976,8.7762,4.6347,7.5828,8.3652,8.3586,6.8989,6.0584,6.4317,7.1372,5.159,4.6164,5.1899,5.0124,4.5959,4.5343,4.6181,4.9624,4.9916,4.7237
7.3848,6.1785,6.7518,7.0997,4.904,6.3265,6.5389,6.0581,7.0494,5.3827,6.322,5.3883,7.5367,7.0942,7.4763,6.8551,8.0117,6.3733,6.1616,7.5593,7.4843,7.6325,6.97,7.3641,4.9177,7.7314,6.8305,7.4367,6.6909,6.831,6.8122,7.2047,6.5745,4.1995,5.5724,4.6142,6.2971,3.9425,4.0675,5.3176,3.8476,5.9237,3.6364,7.2248,8.8883,7.8926,8.0712,8.0505,8.6746,7.8221,8.4648,8.475,8.2987,7.9518,8.0824,8.1727,7.7963,8.6879,7.444,8.8445,8.1662,8.2856,9.0235,8.7357,8.0119,9.0698,7.85,7.6377,5.1462,8.9229,7.8792,8.5839,8.1263,8.0185,8.2916,8.2437,4.3039,4.3375,4.1349,3.9236,4.3384,4.0201,4.3028,4.4541,3.9701,3.7746
8.252,7.479,7.2115,8.1706,6.6483,7.5133,8.3111,6.6089,8.7394,5.0451,6.9356,4.5041,7.3433,8.9861,8.6006,8.6618,8.5689,7.9647,8.0122,7.677,6.995,7.0699,8.8541,8.3843,6.8258,7.993,7.5043,8.7156,5.2986,5.5852,7.3766,8.4544,7.2816,5.4741,3.5013,3.5273,3.9466,3.4267,4.472,6.451,4.0385,4.5489,4.8384,8.3454,8.2004,5.9488,8.7764,8.2987,6.2515,6.4994,8.3638,7.6237,5.156,7.013,8.5629,7.9118,7.0826,9.239,8.5766,8.8314,7.5531,10.09,8.9396,9.3546,8.0353,4.3749,8.0578,6.7999,3.5314,5.0469,8.7415,9.6691,8.6714,6.832,5.2147,8.0029,3.8509,4.2114,3.6891,3.8034,4.1396,4.1824,3.7381,4.8764,3.7649,4.1989
8.902,8.2316,8.1332,7.9648,7.6174,8.1465,8.6044,7.7898,8.3023,7.1427,7.5367,6.155,8.2541,8.4338,9.1467,8.3244,6.8357,7.9958,7.7626,8.0069,9.0389,9.4818,8.4211,8.079,7.5102,9.0307,7.8386,7.1479,7.3815,7.9562,8.0897,8.5718,8.4951,6.4506,4.818,5.1751,6.8285,4.951,5.0456,7.0134,5.0296,5.4254,6.8496,9.1534,6.2437,8.2108,9.4261,8.5265,7.9744,7.7453,7.2868,7.7157,7.5656,6.6177,7.5636,8.1951,7.9672,9.1288,8.6897,8.2489,8.038,9.0401,9.9402,9.6424,9.0475,6.8421,8.3507,9.07,6.9837,9.3333,8.4817,9.0435,8.9088,7.1631,6.5078,8.0387,4.9055,5.059,5.1317,6.0726,5.2754,4.8177,4.974,5.0922,5.7038,5.8848
9.244,9.3504,8.6918,9.6314,8.4669,8.318,9.3933,8.2555,9.4849,6.5472,7.8326,6.2326,8.3909,9.0885,8.9673,9.3545,9.6623,9.4861,8.9917,9.4605,7.6696,8.1994,9.9841,9.2857,8.2744,9.5673,8.5619,10.327,7.307,7.3568,9.2996,10.103,8.5052,7.0249,5.6458,5.7818,5.9943,5.1128,6.2618,7.6467,6.0882,6.143,6.4998,9.5395,9.0825,7.6194,9.3728,9.1527,7.8089,8.0685,9.3173,9.2659,7.2178,8.5021,9.1644,9.3928,8.3186,10.103,10.075,9.9596,8.7597,11.362,10.31,10.497,9.7,6.2092,9.2004,8.0507,5.7818,6.7587,9.4961,10.062,9.0368,8.3047,6.9437,9.3206,5.9366,5.7107,4.9627,5.5235,5.9397,6.2404,5.2134,7.0068,4.8407,5.4486
9.7324,10.419,10.333,9.9519,8.5747,8.8007,9.9784,9.7768,10.68,9.2927,8.4111,9.1645,9.1228,9.3519,9.5931,9.161,9.7328,8.99,9.0353,9.3511,10.03,9.3581,10.131,8.9743,7.4604,9.5973,9.3054,10.067,9.9838,9.0848,9.5277,9.0242,9.0274,7.0283,7.2406,7.4486,7.088,6.4301,5.731,8.9126,7.2573,7.4137,7.1058,9.2935,10.183,9.4688,9.7748,10.018,9.2669,9.4963,10.587,9.1147,9.815,9.5797,9.9714,9.9793,9.4932,10.61,9.8257,9.9059,9.6046,10.469,9.9414,9.407,10.591,8.3762,9.5635,9.3211,6.3531,8.4682,9.4767,9.9391,9.7723,10.746,9.9238,9.4566,5.8395,5.1907,5.2806,6.5051,7.5784,5.9782,5.907,6.0716,5.8062,6.3048
8.2056,7.7357,8.0296,7.8264,6.749,8.2609,7.9841,7.597,8.3786,7.6468,8.3564,7.6526,8.7,8.0405,9.0189,7.8013,7.5081,6.272,6.8828,7.3028,8.1385,7.3376,7.506,7.6679,5.504,7.5507,7.5576,6.4951,7.3534,7.4151,7.7542,7.1174,7.5961,5.6966,6.5322,5.1723,6.4009,5.5588,6.1787,7.057,5.5288,6.3252,5.7167,8.7346,9.6329,9.5335,9.3867,9.3618,9.4629,9.4173,9.0261,8.8226,9.0785,8.5937,8.7594,8.316,8.5837,9.023,7.9729,9.1612,7.6251,8.8343,8.2586,8.2212,8.1007,6.0087,9.5224,8.9322,7.7785,8.8607,9.2165,9.3105,9.6783,8.8419,9.0853,8.8485,4.9688,5.5373,4.8143,6.7365,5.3263,4.9661,5.8875,4.7047,4.7083,4.5297
6.7492,8.3059,5.8841,6.9048,6.1487,7.2755,7.6562,5.7573,6.595,6.562,7.1398,6.5153,5.7471,6.7253,7.3243,5.8515,7.1083,6.2016,6.5474,7.0982,7.1036,6.6472,8.4931,6.9171,5.6864,7.4511,7.1194,7.7337,6.5918,7.1392,7.2582,7.4852,7.1801,5.4235,5.5833,5.2176,5.6957,4.7925,5.5162,6.2389,6.2169,5.118,5.3681,8.8675,8.7204,7.33,8.3222,8.3552,6.3717,6.7796,5.5492,6.8024,6.4947,6.1477,7.8967,8.586,7.9059,8.8562,7.865,7.2046,6.4754,9.2693,8.1783,8.5665,8.7177,6.3667,6.8032,9.2501,6.3138,6.539,7.059,8.2831,8.3058,7.8464,7.4699,9.0599,4.7627,5.2497,5.1487,5.2181,4.8846,5.5788,5.1956,5.5277,5.0109,5.5341
8.9742,8.0619,7.3841,8.6908,7.0974,9.7602,8.1095,7.7216,9.6603,10.054,7.4511,7.4107,7.2707,8.1327,8.9255,8.2221,7.5192,7.3712,7.3296,9.1708,8.5382,5.9852,8.1754,9.2557,7.9314,6.8852,9.4805,7.2605,9.6043,9.2827,8.4315,7.3116,8.0287,5.8157,6.9481,5.8982,6.2309,5.5857,5.5586,7.7883,5.7092,6.6656,5.2355,6.9445,11.179,9.8091,9.8984,9.7079,8.7639,10.617,8.8612,8.2316,7.748,7.9865,9.0717,10.187,9.496,8.8914,7.2445,8.3137,10.76,9.6485,8.7599,7.376,8.5605,8.1408,10.028,9.0351,6.1344,6.9833,8.9359,9.3872,9.8886,9.998,9.8108,9.6335,5.6151,3.8662,5.3184,5.7683,5.7957,5.8235,5.0555,4.9153,5.3209,5.8553
